adjusted_year,country,ISO_A0,region,cases,population_total,RISc,risc_intensity
2011,Argentina,ARG,South America,2803,41730660,0.256005143,expected
1991,Argentina,ARG,South America,0,33230294,-0.518664085,low
2015,Argentina,ARG,South America,77874,43477012,2.459166673,high
2012,Argentina,ARG,South America,9294,42161721,1.135227866,high
2023,Argentina,ARG,South America,610041,45538401,2.603259591,high
1996,Argentina,ARG,South America,0,35513793,-1.560350666,low
1993,Argentina,ARG,South America,0,34152717,-0.163884967,expected
2019,Argentina,ARG,South America,59492,44973465,1.432921364,high
2022,Argentina,ARG,South America,118089,45407904,1.302060187,high
1990,Argentina,ARG,South America,0,32755901,0.156167851,expected
2004,Argentina,ARG,South America,34,38815916,-1.88214539,low
1999,Argentina,ARG,South America,1700,36794682,4.011179339,high
2014,Argentina,ARG,South America,2605,43024071,-0.703112522,low
2009,Argentina,ARG,South America,1185,40854831,0.050588027,expected
2013,Argentina,ARG,South America,3270,42582455,-0.207148419,expected
2001,Argentina,ARG,South America,214,37624825,0.958512525,high
1992,Argentina,ARG,South America,0,33693527,-0.134721779,expected
2005,Argentina,ARG,South America,181,39216789,-0.532498091,low
2000,Argentina,ARG,South America,11,37213984,-1.487323596,low
1998,Argentina,ARG,South America,3,36372860,-1.446486318,low
2008,Argentina,ARG,South America,26606,40424148,3.488946191,high
2002,Argentina,ARG,South America,135,38029349,0.111074079,expected
2010,Argentina,ARG,South America,213,41288694,-1.987052523,low
2003,Argentina,ARG,South America,3284,38424282,2.965077643,high
1995,Argentina,ARG,South America,0,35070020,-0.96101083,low
2021,Argentina,ARG,South America,841,45312281,-3.319971716,low
2007,Argentina,ARG,South America,40,40016763,-2.649649097,low
2006,Argentina,ARG,South America,173,39622115,-0.886192017,low
2016,Argentina,ARG,South America,4299,43900313,-0.632180928,low
2017,Argentina,ARG,South America,1788,44288894,-1.685476396,low
2020,Argentina,ARG,South America,3972,45191965,-1.498947882,low
1997,Argentina,ARG,South America,822,35947791,4.616902663,high
1994,Argentina,ARG,South America,0,34613491,-1.175650708,low
2018,Argentina,ARG,South America,3203,44654882,-1.28560175,low
2014,Antigua And Barbuda,ATG,Caribbean,37,88765,1.174268293,high
2019,Antigua And Barbuda,ATG,Caribbean,1223,91364,3.074866993,high
2013,Antigua And Barbuda,ATG,Caribbean,3,88064,-0.811000388,low
2012,Antigua And Barbuda,ATG,Caribbean,10,87260,0.454392425,expected
1997,Antigua And Barbuda,ATG,Caribbean,7,71053,0.933273807,high
1998,Antigua And Barbuda,ATG,Caribbean,4,72412,0.463699298,expected
2020,Antigua And Barbuda,ATG,Caribbean,407,91846,1.658344833,high
2017,Antigua And Barbuda,ATG,Caribbean,1,90468,-2.660684237,low
2003,Antigua And Barbuda,ATG,Caribbean,0,77884,-1.172494411,low
1999,Antigua And Barbuda,ATG,Caribbean,2,73666,-0.169714643,expected
2000,Antigua And Barbuda,ATG,Caribbean,8,74912,1.124835521,high
2005,Antigua And Barbuda,ATG,Caribbean,0,79611,-1.596916641,low
1995,Antigua And Barbuda,ATG,Caribbean,56,68189,3.372055352,high
1991,Antigua And Barbuda,ATG,Caribbean,1,63387,0.253599338,expected
1990,Antigua And Barbuda,ATG,Caribbean,1,63066,0.595560791,high
2018,Antigua And Barbuda,ATG,Caribbean,8,90926,-1.579518885,low
1993,Antigua And Barbuda,ATG,Caribbean,0,65587,-2.069638361,low
2016,Antigua And Barbuda,ATG,Caribbean,103,89969,1.56422124,high
2006,Antigua And Barbuda,ATG,Caribbean,0,80604,-1.650079359,low
1994,Antigua And Barbuda,ATG,Caribbean,0,66843,-2.417753316,low
2008,Antigua And Barbuda,ATG,Caribbean,17,82912,1.970484364,high
1992,Antigua And Barbuda,ATG,Caribbean,0,64404,-0.877961214,low
1996,Antigua And Barbuda,ATG,Caribbean,12,69612,1.630979719,high
2023,Antigua And Barbuda,ATG,Caribbean,272,93316,0.290695013,expected
2007,Antigua And Barbuda,ATG,Caribbean,0,81704,-1.538723836,low
2004,Antigua And Barbuda,ATG,Caribbean,0,78719,-1.282588937,low
2015,Antigua And Barbuda,ATG,Caribbean,14,89409,-0.114517565,expected
2001,Antigua And Barbuda,ATG,Caribbean,20,76069,2.146702087,high
2022,Antigua And Barbuda,ATG,Caribbean,48,92840,-1.11237002,low
2009,Antigua And Barbuda,ATG,Caribbean,2,84173,-0.35477939,expected
2021,Antigua And Barbuda,ATG,Caribbean,46,92349,-0.833114784,low
2011,Antigua And Barbuda,ATG,Caribbean,7,86332,0.487962425,expected
2002,Antigua And Barbuda,ATG,Caribbean,5,77032,0.886268123,high
2010,Antigua And Barbuda,ATG,Caribbean,3,85320,0.037826853,expected
2003,Australia,AUS,Oceania,1821,19720737,0.45422631,expected
2023,Australia,AUS,Oceania,5985,26652777,1.584371063,high
1996,Australia,AUS,Oceania,930,18224767,0.662969971,high
2016,Australia,AUS,Oceania,4335,24190907,0.522900304,high
1993,Australia,AUS,Oceania,51,17634808,-1.755268328,low
1998,Australia,AUS,Oceania,1386,18607584,0.747990202,high
2010,Australia,AUS,Oceania,3840,22031750,0.202941245,expected
1994,Australia,AUS,Oceania,51,17805468,-1.880182832,low
2018,Australia,AUS,Oceania,3990,24963258,0.766372379,high
2020,Australia,AUS,Oceania,12,25649248,-4.641807052,low
1999,Australia,AUS,Oceania,651,18812264,-0.138381071,expected
2013,Australia,AUS,Oceania,5163,23128129,0.376203187,expected
1991,Australia,AUS,Oceania,1098,17284036,1.519894388,high
2002,Australia,AUS,Oceania,2073,19495210,0.683960245,high
2000,Australia,AUS,Oceania,306,19028802,-1.007545569,low
1995,Australia,AUS,Oceania,120,18004882,-1.20487087,low
1997,Australia,AUS,Oceania,900,18423037,0.466680149,expected
2007,Australia,AUS,Oceania,2091,20827622,0.065748273,expected
1992,Australia,AUS,Oceania,2070,17478635,2.048239872,high
2009,Australia,AUS,Oceania,1905,21691653,-0.362866914,expected
2004,Australia,AUS,Oceania,411,19932722,-1.13745469,low
2019,Australia,AUS,Oceania,2508,25334826,0.452348621,expected
2011,Australia,AUS,Oceania,4326,22340024,0.231915309,expected
2021,Australia,AUS,Oceania,300,25685412,-1.448798715,low
2022,Australia,AUS,Oceania,2817,26014399,0.826641732,high
2017,Australia,AUS,Oceania,2787,24592588,0.244281125,expected
2015,Australia,AUS,Oceania,4374,23815995,0.387577681,expected
2008,Australia,AUS,Oceania,3618,21249199,0.442708323,expected
2006,Australia,AUS,Oceania,747,20450966,-0.800946564,low
2001,Australia,AUS,Oceania,693,19274701,-0.306159522,expected
1990,Australia,AUS,Oceania,138,17065128,-0.443047551,expected
2014,Australia,AUS,Oceania,5148,23475686,0.438674196,expected
2012,Australia,AUS,Oceania,6810,22733465,0.642803114,high
2005,Australia,AUS,Oceania,591,20176844,-0.894535757,low
1991,Bangladesh,BGD,Asia,0,113787109,0.176704361,expected
2009,Bangladesh,BGD,Asia,474,150873714,-1.0765238,low
2017,Bangladesh,BGD,Asia,2769,162186147,-0.85087278,low
2008,Bangladesh,BGD,Asia,1153,149474264,-0.151324053,expected
2012,Bangladesh,BGD,Asia,671,155070101,-1.022154835,low
1998,Bangladesh,BGD,Asia,0,129622332,-2.570758494,low
2003,Bangladesh,BGD,Asia,486,140970351,-0.3881213,expected
2018,Bangladesh,BGD,Asia,10148,163523103,0.097010848,expected
2005,Bangladesh,BGD,Asia,1048,144715786,-0.058810366,expected
2019,Bangladesh,BGD,Asia,104954,164913055,2.048822841,high
1993,Bangladesh,BGD,Asia,0,118132360,-0.233293148,expected
2006,Bangladesh,BGD,Asia,2200,146405973,0.583771064,high
2023,Bangladesh,BGD,Asia,321138,171466990,1.312320532,high
2011,Bangladesh,BGD,Asia,1359,153591076,-0.181506193,expected
2004,Bangladesh,BGD,Asia,3934,142902856,1.433351034,high
2014,Bangladesh,BGD,Asia,375,157964929,-1.995819087,low
1992,Bangladesh,BGD,Asia,0,115952192,-0.449020011,expected
2016,Bangladesh,BGD,Asia,6060,160811932,0.245731396,expected
1990,Bangladesh,BGD,Asia,0,111633717,0.008043666,expected
2001,Bangladesh,BGD,Asia,2430,136805810,2.174971903,high
2007,Bangladesh,BGD,Asia,466,147989278,-1.020422841,low
2000,Bangladesh,BGD,Asia,5551,134544304,3.730310285,high
1995,Bangladesh,BGD,Asia,0,122600370,-0.478030139,expected
2022,Bangladesh,BGD,Asia,62408,169384897,0.177800541,expected
2010,Bangladesh,BGD,Asia,409,152201981,-1.284260606,low
1996,Bangladesh,BGD,Asia,0,124862179,-1.299417636,low
2020,Bangladesh,BGD,Asia,1405,166298024,-2.674850478,low
1994,Bangladesh,BGD,Asia,0,120343179,-0.26420299,expected
2002,Bangladesh,BGD,Asia,6132,138933658,2.543120751,high
1999,Bangladesh,BGD,Asia,273,132108065,1.609294983,high
2021,Bangladesh,BGD,Asia,26151,167658854,-0.204063157,expected
1997,Bangladesh,BGD,Asia,0,127198069,-1.890976409,low
2015,Bangladesh,BGD,Asia,3162,159383179,-0.120465569,expected
2013,Bangladesh,BGD,Asia,1749,156532141,-0.241916572,expected
2021,Bahamas,BHS,Caribbean,NA,396373,-0.725623317,low
2018,Bahamas,BHS,Caribbean,10,392717,-0.799900164,low
2022,Bahamas,BHS,Caribbean,NA,397538,-0.764317789,low
2011,Bahamas,BHS,Caribbean,6997,371729,6.459228181,high
2017,Bahamas,BHS,Caribbean,14,390485,-0.444937611,expected
2010,Bahamas,BHS,Caribbean,10,367478,0.211711081,expected
1993,Bahamas,BHS,Caribbean,0,291339,-1.586706777,low
1990,Bahamas,BHS,Caribbean,2,275945,2.064188916,high
2012,Bahamas,BHS,Caribbean,3,375469,-1.37034287,low
1994,Bahamas,BHS,Caribbean,0,296509,-2.221161056,low
1998,Bahamas,BHS,Caribbean,336,315368,6.014102589,high
2003,Bahamas,BHS,Caribbean,180,335618,4.582634722,high
2001,Bahamas,BHS,Caribbean,0,327836,-0.687160908,low
2002,Bahamas,BHS,Caribbean,0,331614,-0.789500433,low
2006,Bahamas,BHS,Caribbean,1,348375,-1.080520697,low
2013,Bahamas,BHS,Caribbean,3,378953,-1.396497252,low
2000,Bahamas,BHS,Caribbean,0,323835,-0.722652505,low
1999,Bahamas,BHS,Caribbean,0,319614,-0.699592139,low
1991,Bahamas,BHS,Caribbean,0,280731,-0.151007156,expected
2014,Bahamas,BHS,Caribbean,146,382298,2.071364689,high
2023,Bahamas,BHS,Caribbean,243,399440,1.940918557,high
2016,Bahamas,BHS,Caribbean,82,388055,1.353395473,high
2020,Bahamas,BHS,Caribbean,3,395863,-1.770197314,low
2015,Bahamas,BHS,Caribbean,10,385346,-0.668859765,low
2007,Bahamas,BHS,Caribbean,0,353334,-1.87799747,low
1992,Bahamas,BHS,Caribbean,0,285927,-0.408205413,expected
2009,Bahamas,BHS,Caribbean,1,362810,-1.471138967,low
2008,Bahamas,BHS,Caribbean,1,358120,-1.184145657,low
1996,Bahamas,BHS,Caribbean,0,306268,-0.148645068,expected
1997,Bahamas,BHS,Caribbean,0,310904,-0.766064076,low
2019,Bahamas,BHS,Caribbean,27,394675,0.16939611,expected
2004,Bahamas,BHS,Caribbean,1,339782,-0.634769461,low
2005,Bahamas,BHS,Caribbean,0,343894,-1.778942727,low
1995,Bahamas,BHS,Caribbean,1,301461,1.255707607,high
1992,Belize,BLZ,Central America,0,190983,-1.220939954,low
2006,Belize,BLZ,Central America,9,287878,-1.546243226,low
2007,Belize,BLZ,Central America,40,296100,-0.632896739,low
1994,Belize,BLZ,Central America,0,199097,-0.531007247,low
1991,Belize,BLZ,Central America,0,187040,-0.882064062,low
2004,Belize,BLZ,Central America,2,271688,-1.907069486,low
2008,Belize,BLZ,Central America,23,304361,-1.712515861,low
2018,Belize,BLZ,Central America,2347,380226,-0.513152867,low
2020,Belize,BLZ,Central America,2658,390812,-0.403995186,expected
2017,Belize,BLZ,Central America,3054,373202,-0.189954433,expected
2023,Belize,BLZ,Central America,1705,411106,-0.82402369,low
1995,Belize,BLZ,Central America,107,204146,4.073396665,high
2016,Belize,BLZ,Central America,4899,364705,0.392879306,expected
2022,Belize,BLZ,Central America,5080,402733,0.263019744,expected
2002,Belize,BLZ,Central America,41,256009,1.388477954,high
2013,Belize,BLZ,Central America,2690,341627,0.553057091,high
2011,Belize,BLZ,Central America,466,327298,-0.336813404,expected
1996,Belize,BLZ,Central America,0,210310,-1.333275514,low
1993,Belize,BLZ,Central America,0,194902,-0.7092312,low
2012,Belize,BLZ,Central America,1421,334414,0.317351326,expected
2005,Belize,BLZ,Central America,380,279731,2.581766195,high
1997,Belize,BLZ,Central America,141,217446,3.767170085,high
2003,Belize,BLZ,Central America,0,263780,-2.529140022,low
1990,Belize,BLZ,Central America,2,183076,1.195954192,high
2014,Belize,BLZ,Central America,4990,348923,0.839670154,high
2000,Belize,BLZ,Central America,4,240799,-0.415507102,expected
2009,Belize,BLZ,Central America,1370,312614,1.788297867,high
1999,Belize,BLZ,Central America,3,233059,-0.459443293,expected
2015,Belize,BLZ,Central America,5691,356333,0.71878057,high
2021,Belize,BLZ,Central America,3104,395346,-0.234092183,expected
2019,Belize,BLZ,Central America,13410,385829,1.207349589,high
2010,Belize,BLZ,Central America,1885,320245,1.565836606,high
1998,Belize,BLZ,Central America,7,225173,0.514520292,high
2001,Belize,BLZ,Central America,3,248379,-0.885240178,low
1990,Bolivia,BOL,South America,97397,7130142,2.472412897,high
2002,Bolivia,BOL,South America,6501,8900355,1.970831845,high
2018,Bolivia,BOL,South America,15792,11508368,-0.8674494,low
2013,Bolivia,BOL,South America,42736,10682608,0.265868941,expected
2020,Bolivia,BOL,South America,5871,11816299,-1.814762501,low
2010,Bolivia,BOL,South America,26633,10182345,0.359561444,expected
2006,Bolivia,BOL,South America,7223,9521689,0.416860145,expected
2016,Bolivia,BOL,South America,23958,11180020,-0.479710883,expected
2009,Bolivia,BOL,South America,9918,10016275,-0.349388438,expected
2014,Bolivia,BOL,South America,47512,10848888,0.273986417,expected
2008,Bolivia,BOL,South America,83849,9850858,2.10589198,high
2023,Bolivia,BOL,South America,53769,12244159,0.350104783,expected
1993,Bolivia,BOL,South America,54453,7579195,3.747535329,high
1999,Bolivia,BOL,South America,73,8459806,-1.575431472,low
1998,Bolivia,BOL,South America,43,8313394,-1.986639901,low
2007,Bolivia,BOL,South America,3178,9685960,-0.801049807,low
2003,Bolivia,BOL,South America,7365,9050700,1.690297137,high
1994,Bolivia,BOL,South America,7,7727322,-4.45841295,low
2012,Bolivia,BOL,South America,13050,10515807,-0.774796616,low
2021,Bolivia,BOL,South America,11782,11937360,-1.116670909,low
2022,Bolivia,BOL,South America,157573,12077154,1.45400276,high
2015,Bolivia,BOL,South America,68432,11014705,0.586092242,high
2004,Bolivia,BOL,South America,4433,9204287,0.765775736,high
1995,Bolivia,BOL,South America,52,7874676,-2.264769093,low
1992,Bolivia,BOL,South America,6915,7430336,1.101452854,high
2000,Bolivia,BOL,South America,176,8606326,-0.935665828,low
2011,Bolivia,BOL,South America,51694,10348929,0.789395095,high
2017,Bolivia,BOL,South America,12094,11344587,-1.153799466,low
1996,Bolivia,BOL,South America,539,8021736,0.333967542,expected
1991,Bolivia,BOL,South America,3501,7280289,-0.205504883,expected
2001,Bolivia,BOL,South America,891,8752736,0.363197156,expected
1997,Bolivia,BOL,South America,49,8167900,-1.887313064,low
2019,Bolivia,BOL,South America,123178,11671386,1.207507216,high
2005,Bolivia,BOL,South America,2039,9360754,-0.431563972,expected
2021,Brazil,BRA,South America,2169450,209550294,-0.054070064,expected
2005,Brazil,BRA,South America,345922,184688101,-0.1303418,expected
2022,Brazil,BRA,South America,2929392,210306415,0.080900181,expected
2010,Brazil,BRA,South America,753487,193701929,0.066007297,expected
2000,Brazil,BRA,South America,412388,174018282,0.406971299,expected
2009,Brazil,BRA,South America,994158,192079951,0.460073409,expected
2001,Brazil,BRA,South America,778037,176301203,0.964321794,high
2011,Brazil,BRA,South America,597450,195284734,-0.281695767,expected
2014,Brazil,BRA,South America,1443769,200085127,0.271475917,expected
2017,Brazil,BRA,South America,441093,204703445,-1.182493874,low
2018,Brazil,BRA,South America,2090899,206107261,0.277084645,expected
1990,Brazil,BRA,South America,97209,149143223,1.567459101,high
2002,Brazil,BRA,South America,341189,178503484,0.079686491,expected
2015,Brazil,BRA,South America,2315122,201675532,0.650385119,high
1993,Brazil,BRA,South America,54453,156794577,0.001531056,expected
1995,Brazil,BRA,South America,175749,161735073,0.49652139,expected
2006,Brazil,BRA,South America,558413,186653106,0.237793205,expected
1996,Brazil,BRA,South America,254074,164202549,0.581538583,high
2019,Brazil,BRA,South America,1786569,207455459,0.01322013,expected
2007,Brazil,BRA,South America,724427,188552320,0.379701557,expected
1992,Brazil,BRA,South America,6915,154275079,-1.715876359,low
2008,Brazil,BRA,South America,520660,190367302,-0.069185146,expected
1999,Brazil,BRA,South America,231412,171641543,-0.06680442,expected
1991,Brazil,BRA,South America,3501,151724256,-2.068669233,low
2013,Brazil,BRA,South America,591080,198478299,-0.518462732,low
1997,Brazil,BRA,South America,535283,166661659,1.09094378,high
2004,Brazil,BRA,South America,203356,182675143,-0.567228639,low
1998,Brazil,BRA,South America,204131,169159655,-0.055691744,expected
2020,Brazil,BRA,South America,742266,208660842,-0.984097365,low
2003,Brazil,BRA,South America,112851,180622688,-1.083565376,low
2012,Brazil,BRA,South America,1473645,196876111,0.506019392,high
2023,Brazil,BRA,South America,10047185,211140729,1.138290812,high
1994,Brazil,BRA,South America,124775,159265006,0.482334872,expected
2016,Brazil,BRA,South America,542474,203218114,-0.887923372,low
2015,Barbados,BRB,Caribbean,503,278990,-0.056976361,expected
2021,Barbados,BRB,Caribbean,448,282147,-0.214307478,expected
2001,Barbados,BRB,Caribbean,1029,262425,1.477138514,high
2010,Barbados,BRB,Caribbean,2966,275243,2.582654216,high
2011,Barbados,BRB,Caribbean,739,276139,0.956157962,high
1999,Barbados,BRB,Caribbean,688,262517,1.179057679,high
2009,Barbados,BRB,Caribbean,55,274123,-1.176630977,low
2003,Barbados,BRB,Caribbean,557,265776,1.019253775,high
2005,Barbados,BRB,Caribbean,320,268706,0.721252691,high
1992,Barbados,BRB,Caribbean,4,260267,-1.696156298,low
2008,Barbados,BRB,Caribbean,1,272714,-3.947609439,low
2016,Barbados,BRB,Caribbean,1732,279598,1.145536988,high
2012,Barbados,BRB,Caribbean,912,276938,0.939377953,high
1996,Barbados,BRB,Caribbean,130,262284,0.251122621,expected
2023,Barbados,BRB,Caribbean,798,282336,0.283356832,expected
1991,Barbados,BRB,Caribbean,21,259373,0.042216726,expected
2020,Barbados,BRB,Caribbean,1352,281698,0.912170081,high
2022,Barbados,BRB,Caribbean,339,282318,-0.53078806,low
2019,Barbados,BRB,Caribbean,125,281207,-1.456014324,low
2006,Barbados,BRB,Caribbean,1,270002,-4.018038534,low
2000,Barbados,BRB,Caribbean,744,262063,1.16720535,high
2013,Barbados,BRB,Caribbean,2848,277665,1.889811671,high
1994,Barbados,BRB,Caribbean,0,261620,-3.970285746,low
1990,Barbados,BRB,Caribbean,236,258582,2.695505173,high
2017,Barbados,BRB,Caribbean,597,280171,0.079465436,expected
2018,Barbados,BRB,Caribbean,69,280711,-2.056053205,low
2014,Barbados,BRB,Caribbean,2689,278348,1.698023771,high
1995,Barbados,BRB,Caribbean,974,262039,2.609222085,high
1998,Barbados,BRB,Caribbean,852,262436,1.565877573,high
2007,Barbados,BRB,Caribbean,0,271288,-4.325687572,low
1997,Barbados,BRB,Caribbean,196,262392,0.346523585,expected
2004,Barbados,BRB,Caribbean,349,267298,0.682971366,high
2002,Barbados,BRB,Caribbean,740,264148,1.198444157,high
1993,Barbados,BRB,Caribbean,1,261027,-2.993313273,low
1992,China,CHN,Asia,2,1164970000,-3.862136195,low
2003,China,CHN,Asia,93,1288400000,-1.358112051,low
2021,China,CHN,Asia,0,1412360000,-6.282523233,low
2012,China,CHN,Asia,498,1354190000,-0.988801609,low
2009,China,CHN,Asia,312,1331260000,-0.674875557,low
2002,China,CHN,Asia,1606,1280400000,1.437524376,high
2019,China,CHN,Asia,22317,1407745000,2.413963847,high
1991,China,CHN,Asia,902,1150780000,1.676255042,high
2014,China,CHN,Asia,47512,1371860000,3.096343268,high
2016,China,CHN,Asia,2050,1387790000,-0.21562172,expected
2022,China,CHN,Asia,487,1412175000,-1.024185299,low
2023,China,CHN,Asia,19627,1410710000,2.737499843,high
2005,China,CHN,Asia,40,1303720000,-2.174353115,low
2004,China,CHN,Asia,247,1296075000,-0.363845778,expected
2015,China,CHN,Asia,3858,1379860000,0.461177912,expected
2013,China,CHN,Asia,5277,1363240000,1.106309592,high
2001,China,CHN,Asia,375,1271850000,-0.055038093,expected
2007,China,CHN,Asia,539,1317885000,0.21565402,expected
1997,China,CHN,Asia,637,1230075000,0.630982369,high
1995,China,CHN,Asia,6812,1204855000,3.262181426,high
2008,China,CHN,Asia,203,1324655000,-0.910515255,low
2017,China,CHN,Asia,5893,1396215000,0.866717658,high
1999,China,CHN,Asia,1868,1252735000,1.549625213,high
2000,China,CHN,Asia,405,1262645000,0.004436573,expected
2006,China,CHN,Asia,1315,1311020000,1.218497277,high
2011,China,CHN,Asia,58,1345035000,-2.835202396,low
2020,China,CHN,Asia,558,1411100000,-1.118163272,low
1996,China,CHN,Asia,8,1217550000,-3.430370398,low
1993,China,CHN,Asia,359,1178440000,0.591985768,high
2010,China,CHN,Asia,223,1337705000,-1.242310454,low
2018,China,CHN,Asia,5136,1402760000,0.814979116,high
1998,China,CHN,Asia,490,1241935000,0.270244116,expected
1994,China,CHN,Asia,17,1191835000,-2.50997636,low
1990,China,CHN,Asia,376,1135185000,0.853849121,high
1994,Colombia,COL,South America,774,35127410,-3.127650113,low
2000,Colombia,COL,South America,20956,39089934,-0.342132445,expected
2004,Colombia,COL,South America,27014,41543171,-0.304037425,expected
2007,Colombia,COL,South America,41022,43235374,-0.119248187,expected
2008,Colombia,COL,South America,35784,43758808,-0.347880569,expected
1995,Colombia,COL,South America,50031,35804662,0.935814898,high
2011,Colombia,COL,South America,31819,45259614,-0.747901121,low
1997,Colombia,COL,South America,20340,37121149,-0.159202709,expected
2009,Colombia,COL,South America,51946,44271541,-0.070408439,expected
2021,Colombia,COL,South America,53334,51188173,-0.383435452,expected
2005,Colombia,COL,South America,40668,42128977,0.038188457,expected
2023,Colombia,COL,South America,135531,52321152,0.556460793,high
1990,Colombia,COL,South America,17350,32440069,0.187926284,expected
1991,Colombia,COL,South America,15104,33098372,0.015008503,expected
2016,Colombia,COL,South America,101016,47437512,0.165922776,expected
2003,Colombia,COL,South America,55475,40937429,0.469479197,expected
1999,Colombia,COL,South America,19243,38454863,-0.364728855,expected
2012,Colombia,COL,South America,55179,45715810,-0.283135371,expected
1992,Colombia,COL,South America,59853,33760571,1.352120722,high
2001,Colombia,COL,South America,48874,39709262,0.445877708,expected
1998,Colombia,COL,South America,58011,37792165,0.806251389,high
2013,Colombia,COL,South America,126425,46151584,0.471561318,expected
2020,Colombia,COL,South America,78979,50629997,-0.011481728,expected
2015,Colombia,COL,South America,96444,46969940,0.124498785,expected
2022,Colombia,COL,South America,69497,51737944,-0.112117894,expected
2019,Colombia,COL,South America,127553,49907985,0.442135047,expected
2014,Colombia,COL,South America,107975,46565429,0.262860101,expected
1996,Colombia,COL,South America,31398,36462745,0.369602321,expected
2006,Colombia,COL,South America,36829,42691084,-0.139580326,expected
2002,Colombia,COL,South America,71727,40324680,0.775445891,high
2017,Colombia,COL,South America,25775,48131078,-1.189765873,low
2018,Colombia,COL,South America,46037,49024465,-0.595425846,low
1993,Colombia,COL,South America,8449,34441473,-0.659762829,low
2010,Colombia,COL,South America,155255,44777319,0.927876486,high
2018,Costa Rica,CRI,Central America,4530,4957818,-0.962824182,low
1996,Costa Rica,CRI,Central America,2309,3619013,0.390572952,expected
2011,Costa Rica,CRI,Central America,13838,4609833,-0.354943237,expected
2009,Costa Rica,CRI,Central America,7214,4499791,-0.978897458,low
1990,Costa Rica,CRI,Central America,0,3121706,-1.703387648,low
2020,Costa Rica,CRI,Central America,10056,5034320,0.007599566,expected
2023,Costa Rica,CRI,Central America,31565,5105525,1.227319834,high
2008,Costa Rica,CRI,Central America,8212,4440056,-0.833418614,low
2012,Costa Rica,CRI,Central America,22243,4663934,0.122542656,expected
1992,Costa Rica,CRI,Central America,0,3284258,-3.410134774,low
2016,Costa Rica,CRI,Central America,30700,4866998,0.716091884,high
2010,Costa Rica,CRI,Central America,31484,4555962,0.477181357,expected
2000,Costa Rica,CRI,Central America,4908,3937739,-0.663652495,low
1998,Costa Rica,CRI,Central America,2628,3782838,-0.59871454,low
1994,Costa Rica,CRI,Central America,13929,3451122,3.802321458,high
2014,Costa Rica,CRI,Central America,16742,4767119,-0.080924987,expected
2006,Costa Rica,CRI,Central America,12052,4321340,-0.407569077,expected
2007,Costa Rica,CRI,Central America,26504,4380248,0.356200238,expected
2022,Costa Rica,CRI,Central America,7485,5081765,-0.218430844,expected
2021,Costa Rica,CRI,Central America,5174,5059988,-0.607689158,low
2017,Costa Rica,CRI,Central America,8340,4913177,-0.466634847,expected
1993,Costa Rica,CRI,Central America,4612,3367434,3.676318218,high
2001,Costa Rica,CRI,Central America,9464,4008947,-0.231215491,expected
2003,Costa Rica,CRI,Central America,19703,4138784,0.237608305,expected
1991,Costa Rica,CRI,Central America,0,3202176,-2.540997908,low
2019,Costa Rica,CRI,Central America,9472,4999553,-0.128910933,expected
2002,Costa Rica,CRI,Central America,12251,4075705,-0.131837181,expected
